userID,name,hashedPassword,age,maritalStatus,project,applicationStatus,appliedFlat
S1234567A,John,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,35,SINGLE,null,null,null
T7654321B,Sarah,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,40,MARRIED,null,null,null
S9876543C,Grace,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,37,MARRIED,null,null,null
T2345678D,James,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,30,MARRIED,null,null,null
S3456789E,Rachel,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,25,SINGLE,null,null,null
T8765432F,Michael,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,36,SINGLE,null,null,null
S5678901G,Jessica,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,26,MARRIED,null,null,null
T2109876H,Daniel,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,36,SINGLE,null,null,null
S6543210I,Emily,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,28,SINGLE,null,null,null
T1234567J,David,wAZ9SvTofwDbrGO2FWgoI3BZFy0bvqxnQnNF1qn9pIQ=,29,MARRIED,null,null,null
S8888888A,Pete,lPQcyFkF7w+936rsnf9HHnWviRi/JKzgzBxYKTjGOCY=,30,SINGLE,null,null,null
S9999999A,managertest,lPQcyFkF7w+936rsnf9HHnWviRi/JKzgzBxYKTjGOCY=,50,MARRIED,null,null,null
S7777777A,Nathan,lPQcyFkF7w+936rsnf9HHnWviRi/JKzgzBxYKTjGOCY=,21,MARRIED,null,P0001::MAP::UNSUCCESSFUL::LIST::P0002::MAP::UNSUCCESSFUL,P0001::MAP::THREE_ROOM::LIST::P0002::MAP::TWO_ROOM
